slug,titel,categorie,datum,woorden,noindex,yoast_title,metadesc,in_live_urls
online-muziekles,Online Muziekles: Ontdek de Voordelen en Mogelijkheden,Muziekles,"Thu, 25 Jul 2013 10:15:00 +0200",1038,1,%%title%% | wij hebben 14 verschillende muziekcursussen,"Ontdek online muziekles: gitaar, piano, drums, zang &amp; ukelele! Betaalbaar en laagdrempelig leren spelen of zingen. Start vandaag nog met jouw muzikale reis!",ja
soorten-gitaren,Soorten Gitaren: Een Complete Gids voor Beginners en Gevorderden,Gitaarles,"Mon, 29 Jul 2013 17:04:00 +0200",1230,1,Gitaarsoorten: Overzicht & Handige Artikelen,"Ontdek de wereld van gitaren! Van akoestisch tot elektrisch, jumbo tot stratocaster. Leer alles over gitaarsoorten en vind de perfecte gitaar voor jou!",ja
wat-is-een-piano,Wat is een piano? Alles over dit veelzijdige instrument,Pianoles,"Mon, 29 Jul 2013 17:15:00 +0200",1307,1,Piano Uitleg: Info & Alles Over de Piano,"Ontdek alles over de piano! Leer over de geschiedenis, werking, soorten en onderhoud van dit prachtige instrument. Word een piano kenner en lees verder!",ja
waar-moet-je-op-letten-bij-het-kopen-van-een-gitaar,Waar moet je op letten bij het kopen van een gitaar?,Gitaarles,"Tue, 30 Jul 2013 14:04:00 +0200",1123,1,Gitaar kopen: Waar moet je op letten?,Gitaar kopen? Ontdek de cruciale factoren voor een goede gitaar. Vermijd een miskoop en vind de perfecte gitaar die bij je past. Lees meer!,ja
wat-is-een-drumstel,Wat is een drumstel? Alles over de onderdelen en opbouw,Drumles,"Tue, 30 Jul 2013 14:18:00 +0200",1123,1,Drumstel: Onderdelen & Opbouw | Uitleg,"Leer alles over de onderdelen &amp; opbouw van een drumstel! Van bassdrum tot bekkens, **geen** detail missen. Ontdek hoe het werkt &amp; word een expert!",ja
gitaaronderdelen,Gitaaronderdelen Kopen: Alles voor Reparatie en Onderhoud,Gitaarles,"Tue, 30 Jul 2013 14:33:00 +0200",1277,1,"Gitaar onderdelen, welke zijn er allemaal! | OnlineMuziekCursus.nl",Gitaaronderdelen nodig voor reparatie of onderhoud van uw gitaar? Ontdek de meest voorkomende onderdelen en hoe u ze vervangt. Bekijk het nu!,ja
piano-bladmuziek,Piano bladmuziek: Een complete gids,Pianoles,"Tue, 30 Jul 2013 14:39:00 +0200",1168,1,%%title%% | bladmuziek is muziek die op papier is vastgelegd,"Door bladmuziek te lezen en te spelen, kunnen musici een muziekstuk leren spelen. Vooral in de klassieke muziek is deze manier de meest voorkomende.",ja
gitaarakkoorden,Gitaarakkoorden: Een Complete Gids voor Beginners en Gevorderden,Gitaarles,"Tue, 30 Jul 2013 15:05:00 +0200",1177,1,%%title%% leren spelen,"Leer alles over gitaarakkoorden! Van basis tot complexe akkoorden, ontdek hoe je ze speelt en gebruikt. Start vandaag nog met gitaarspelen!",ja
akoestische-gitaar,Akoestische Gitaar: Een Complete Gids voor Muziekliefhebbers,Gitaarles,"Tue, 30 Jul 2013 15:43:00 +0200",1103,1,%%title%% | OnlineMuziekCursus.nl,"De akoestische gitaar, ook wel bekend als de klassieke gitaar is een instrument met een holle klankkast, een hals en in principe zes snaren, maar hoeft niet",NEE
muziekinstrumenten-de-drie-bekendste,Muziekinstrumenten: De Drie Bekendste en Meer!,Muziekles,"Wed, 31 Jul 2013 13:55:00 +0200",1173,1,Bekende muziekinstrumenten: Top 3,"Ontdek de top 3 bekendste muziekinstrumenten: gitaar, piano &amp; drums. Leer over hun unieke klank en populariteit door de jaren heen. Lees meer!",ja
de-gitaar,De gitaar: Een Bijzonder Instrument Ontleed,Gitaarles,"Tue, 06 Aug 2013 08:21:00 +0200",915,1,%%title%% hoort bij de populairste instrumenten | OnlineMuziekCursus.nl,"De gitaar is een van de populairste instrumenten om muziek mee leren te maken. Sterker nog, de gitaar is niet weg te denken uit veel muziekgenres.",ja
de-juiste-elektrische-gitaar-kiezen,De juiste elektrische gitaar kiezen,Gitaarles,"Tue, 06 Aug 2013 08:32:00 +0200",967,1,Elektrische Gitaar Kiezen: De Ultieme Gids,"Een elektrische gitaar kopen, speel je al een tijdje akoestisch en ben je benieuwd naar de elektrische gitaar? waar moet je op letten bij het kopen.",ja
houtsoorten-voor-een-gitaar,Houtsoorten voor een Gitaar: De Ultieme Gids,Gitaarles,"Tue, 06 Aug 2013 08:48:00 +0200",861,1,%%title%% | %%sitename%%,"Ontdek de invloed van houtsoorten op gitaarklank! Overzicht van mahonie, esdoorn &amp; meer. Kies het perfecte hout voor jouw sound. Lees verder!",ja
piano-kopen-of-huren,"Wanneer je hebt besloten pianoles te nemen, lijkt een logische volgende stap de aanschaf van een piano . Dit is echter m",Pianoles,"Thu, 08 Aug 2013 20:11:51 +0200",318,1,%%title%% | %%sitename%%,"Wanneer je hebt besloten pianoles te nemen, lijkt de volgende stap de aanschaf van een daadwerkelijke piano. Dit is echter makkelijker gezegd dan gedaan.",NEE
essentiele-gitaartechnieken-voor-popmuziek,De gitaar wordt veelal geprezen om haar flexibiliteit. Je kunt het zo gek niet bedenken of het is wel op een gitaar te b,Gitaarles,"Sat, 10 Aug 2013 14:16:33 +0200",351,1,%%title%% | %%sitename%%,De gitaar wordt veelal geprezen om haar flexibiliteit. Je kunt het zo gek niet bedenken of het is wel op een gitaar te bespelen.,ja
de-geschiedenis-van-de-piano-in-een-notendop,"De piano is tegenwoordig één van de bekendste instrumenten op aarde, maar het heeft wel enige tijd geduurd voordat het i",Pianoles,"Sun, 11 Aug 2013 18:24:51 +0200",342,1,%%title%% | %%sitename%%,"De piano is tegenwoordig één van de bekendste instrumenten op aarde, het heeft wel enige tijd geduurd voordat het instrument zulke bekendheid verworven had.",ja
essentiele-gitaartechnieken-voor-rockmuziek,De gitaar is hét instrument van de rockmuziek. Iedereen kent wel gitaristen die naam hebben gemaakt als rockmuzikant: Sl,Gitaarles,"Mon, 12 Aug 2013 20:00:16 +0200",339,1,%%title%% | %%sitename%%,"De gitaar is hét instrument van de rockmuziek. Iedereen kent wel gitaristen die naam hebben gemaakt als rockmuzikant: Slash van Guns N' Roses, Chuck Berry",ja
onderhoud-van-je-piano,"Wanneer je een piano hebt aangeschaft, wil je natuurlijk dat deze in zo’n goed mogelijke staat blijft. Het is daarom bel",Pianoles,"Tue, 13 Aug 2013 22:24:18 +0200",370,1,%%title%% | %%sitename%%,"Wanneer je een piano hebt aangeschaft, wil je natuurlijk dat deze in zo’n goed mogelijke staat blijft. Het is een vrij kwetsbaar instrument, lees verder.",ja
essentiele-gitaartechnieken-voor-heavy-metal,"Niet iedere gitarist droomt van melodische akkoordprogressies, pentatonische solo’s en een publiek dat vrolijk mee wuift",Gitaarles,"Wed, 14 Aug 2013 19:37:34 +0200",338,1,%%title%% %%sep%% %%sitename%%,Sommige gitaristen zoeken de duisterdere kant van de muziek op en verkiezen heavy metal boven elk ander genre. Het geluid van scheurende gitaren lees verder,ja
componisten-voor-beginners,"Wanneer je begint met piano spelen zal je waarschijnlijk meteen de mooiste stukken willen spelen. Echter, voordat je stu",Pianoles,"Mon, 19 Aug 2013 13:01:48 +0200",347,1,%%title%% | %%sitename%%,"Wanneer je begint met pianospelen zal je waarschijnlijk meteen de mooiste stukken willen spelen. Echter, voordat je stukken van Mozart of, lees verder",ja
essentiele-gitaartechnieken-voor-jazz,"Hoewel jazz nu niet bepaald de populairste muzieksoort aller tijden is, kunnen de meeste gitaristen toch wel een of twee",Gitaarles,"Mon, 26 Aug 2013 07:27:21 +0200",401,1,%%title%% | %%sitename%%,"Jazzakkoorden stellen je linkerhand ontzettend op de proef. Je moet daarom snel en perfect de raarste akkoorden kunnen overpakken, lees verder.",ja
gitaarelement,Actieve versus passieve elementen . Je hebt misschien wel eens gehoord van EMG-elementen. Dat zijn speciale elementen di,Gitaarles,"Mon, 09 Sep 2013 08:53:12 +0200",389,1,Elementen voor een gitaar | %%sitename%%,Actieve versus passieve elementen. Je hebt misschien wel eens gehoord van EMG-elementen. Dat zijn speciale elementen die negen van de tien keer actief zijn,ja
complete-vocal-technique,"“Ik kan niet zingen.” Veel mensen zeggen dit, en menen het ook, maar het is grote onzin. Probeer eens al je adem uit te ",Zangles,"Wed, 15 Jan 2014 13:33:17 +0100",450,1,%%title%% %%sep%% OnlineMuziekCursus.nl,"De online zangcursus word gegeven volgens de Complete Vocal Technique, neem een kijkje wat er geleerd word in de cursus, en vraag een gratis proefles aan!!",ja
gitaar-stemmen,"De klank van een gitaar behouden: Wanneer je korte of langere tijd geleden een gitaar hebt aangeschaft, is het belangrij",Gitaarles,"Thu, 16 Jan 2014 14:09:15 +0100",397,1,%%title%% %%sep%% OnlineMuziekCursus.nl,"Gitaar stemmen, Wanneer je korte of langere tijd geleden een gitaar hebt aangeschaft, is het belangrijk dat deze regelmatig gestemd wordt.",ja
leren-zingen-11-stappen,"Wilt je graag leren zingen ? Het is voor iedereen mogelijk! Hieronder volgen 11 stappen, waarin staat hoe je een goede b",,"Fri, 17 Jan 2014 17:06:36 +0100",1008,,,,ja
piano-tips-voor-beginners,Piano spelen is niet moeilijk. Iedereen kan het leren. Je speelt al snel je eerste liedjes op de piano dankzij deze pian,Pianoles,"Sat, 18 Jan 2014 20:29:26 +0100",396,1,%%title%% %%sep%% OnlineMuziekCursus.nl,Piano spelen is niet moeilijk. Iedereen kan het leren. Je speelt al snel je eerste liedjes op de piano dankzij deze piano tips voor beginners.,ja
leren-improviseren-voor-zangers,"Als zanger zing je vaak vast omlijnde stukken. De tekst is van tevoren al bepaald, de toonhoogte, het tempo, vaak wordt ",Zangles,"Tue, 04 Mar 2014 14:13:15 +0100",524,1,%%title%% %%sep%% OnlineMuziekCursus.nl,"Als zanger zing je vaak vast omlijnde stukken. De tekst is van tevoren al bepaald, de toonhoogte, het tempo, vaak wordt er zelfs al een bepaalde klankkleur van je verwacht",ja
akoestische-elektrische-gitaar-spelen,"Als je elektrisch gitaar wilt spelen, heb je een versterker, jackkabel en stroom nodig. Je kunt met of zonder plectrum s",Gitaarles,"Fri, 14 Mar 2014 15:22:05 +0100",265,1,%%title%% %%sep%% OnlineMuziekCursus.nl,"ls je elektrisch gitaar wilt spelen, heb je een versterker, jackkabel en stroom nodig. Je kunt met of zonder plectrum spelen",ja
de-dos-en-donts-bij-het-leren-piano-spelen,Als je een nieuw stuk wilt instuderen op de piano zijn er een aantal Do’s & Don’ts die je kunnen helpen om sneller het g,Pianoles,"Mon, 24 Mar 2014 08:19:37 +0100",401,1,%%title%% %%sep%% OnlineMuziekCursus.nl,Als je een nieuw stuk wilt instuderen op de piano zijn er een aantal Do’s &amp; Don'ts die je kunnen helpen om sneller het gewenste resultaat te bereiken.,ja
bladmuziek-voor-drummers,Voor drummers is er speciale bladmuziek. Elk onderdeel van het bladmuziek heeft zijn eigen regel. Zo weet je precies wan,Drumles,"Tue, 08 Apr 2014 19:23:17 +0200",238,1,%%title%% | Online Drumcursus bij onlinemuziekcursus.nl,"Voor drummers is er speciale bladmuziek. Elk onderdeel van het bladmuziek heeft zijn eigen regel, bestel hier de online drumcursus!",ja
lax-vox-methode-voor-zangers,Dan kun je oefenen met de LAX VOX METHODE.,,"Tue, 15 Apr 2014 13:17:40 +0200",925,,,,ja
fingerpicking-voor-gitaristen,Als je liedjes wilt begeleiden kun je dit doen door de noten gelijktijdig of na elkaar te spelen. In bladmuziek voor git,Gitaarles,"Wed, 23 Apr 2014 17:32:11 +0200",170,1,%%title%% | OnlineMuziekCursus.nl,"Fingerpicking, In bladmuziek voor gitaristen zul je ‘fingerpicking patterns’ tegenkomen. Vind hier meer info, OnlineMuziekCursus.nl",ja
intervallen-majeur-en-mineur,Pythagoras (572-500 voor Christus) ontdekte een systeem om een toonladder op te bouwen door een gespannen snaar op versc,Pianoles,"Thu, 19 Jun 2014 19:21:34 +0200",275,1,%%title%%,Intervallen zijn afstanden tussen twee tonen in een toonladder. De naamgeving van de intervallen vloeit voort uit de onderlinge afstanden van tonen.,ja
drumstokken,Onderdelen van de drumstok,Drumles,"Mon, 30 Jun 2014 15:53:57 +0200",334,1,%%title%% om te drummen | OnlineMuziekCursus.nl,"Drumstokken zijn verkrijgbaar in verschillende lengtes en diktes. De verschillende maten, zijn toepasbaar bij verschillende muziekstijlen.",ja
adem-en-ademvocaalruimtes-voor-zangers,"Door te werken vanuit de ERVAARBARE ADEM (methode van Ilse Middendorf) kun je leren om volledig, gelijkmatig en ruimer t",Zangles,"Sun, 07 Sep 2014 15:32:55 +0200",603,1,%%title%%,"Door te werken vanuit de ERVAARBARE ADEM (methode van Ilse Middendorf) kun je leren om volledig, gelijkmatig en ruimer te ademen.",ja
flageoletten-spelen-op-de-gitaar,"Wanneer je een snaarinstrument zoals de akoestische gitaar bespeelt, kun je boventonen spelen door middel van het dempen",Gitaarles,"Tue, 10 Feb 2015 14:07:57 +0100",380,1,%%title%%,"Flageoletten spelen op de gitaar, Wanneer je een gitaar bespeelt, kun je boventonen spelen door middel van het dempen van een snaar op een zeer lichte plek.",ja
stembereik-voor-zangers,Stembereik vergroten,Zangles,"Mon, 02 Mar 2015 15:11:12 +0100",579,1,%%title%%,"Als zanger is het handig om te weten wat je stembereik is. Hoe hoog en hoe laag kun je zingen? Op welke tonen kun je krachtig zingen, en welke nog niet?",ja
strumming-patterns-voor-gitaristen,Zware en lichte maatdelen,Gitaarles,"Wed, 09 Sep 2015 11:53:10 +0200",359,1,%%title%%,"Als gitarist is het belangrijk dat je een duidelijk, constant ritme kunt spelen en niet alles even hard speelt. Met strumming patterns kun je goed oefenen.",ja
in-het-ritme-leren-spelen-voor-pianisten,"Als je wilt piano leren spelen , moet je veel dingen tegelijk leren. Je leert noten lezen, je vingers afzonderlijk van e",Pianoles,"Thu, 24 Sep 2015 19:53:27 +0200",307,1,%%title%%,"In het ritme leren spelen voor pianisten, Als je piano leert spelen, moet je veel dingen tegelijk leren. Je leert noten lezen, een juiste houding etc etc",ja
noten-en-akkoorden-op-de-gitaar,Wanneer je de gitaarsnaren van boven naar onder open (zonder dat je deze af dempt) dan heb je op een rij:,Gitaarles,"Tue, 10 Nov 2015 13:17:46 +0100",675,1,%%title%%,"Noten en akkoorden leren op de gitaar, hier vind je een duidelijke uitleg over de noten en akkoorden met het gebruik van een capo.",ja
boventonen-leren-zingen,Wat zijn boventonen?,Zangles,"Thu, 26 Nov 2015 17:02:55 +0100",1759,1,%%title%% en boventoon technieken,"Boventonen hebben frequenties die veelvouden zijn van de frequentie van een grondtoon. De boventonen vormen een vaste reeks, afhankelijk van de grondtoon.",ja
simpele-popliedjes-om-je-zang-mee-te-oefenen,"Wanneer je goed wilt leren zingen, ga je natuurlijk zanglessen volgen. Maar zoals voor alles, geldt ook voor goed leren ",Zangles,"Mon, 10 Feb 2020 11:25:13 +0100",837,1,%%title%% | Onlinemuziekcursus.nl,"Zoek je simpele popliedjes om je zang mee te oefenen? Bekijk dan eens deze lijst. Ze zijn leuk, toegankelijk en bieden je voldoende uitdaging om beter te leren zingen.",ja
altijd-al-ukelele-willen-leren-spelen-start-vandaag-nog,"Wanneer je op zoek gaat naar een (nieuw) instrument om te leren bespelen, kom je al snel bij enkele geijkte favorieten u",Ukelele,"Mon, 10 Feb 2020 11:48:58 +0100",622,1,%%title%%,Heb je altijd al ukelele willen spelen? Dit is het moment. Dit betaalbare instrument brengt je gegarandeerd veel plezier. In alle opzichten is de ukelele zeer toegankelijk.,ja
zorg-goed-voor-je-stembanden-met-de-tips,"Iedereen die een instrument bespeelt en zingt, zal beamen: je stem is je belangrijkste instrument. Schade aan je stem la",Zangles,"Fri, 14 Feb 2020 10:26:48 +0100",751,1,%%title%% | OnlineMuziekCursus.nl,"Zorg goed voor je stembanden met deze tips. Je hebt maar een stem, dus wees daar zuinig op. Met deze tips houd je jouw stem in optimale conditie.",ja
gigbag-of-koffer-onmisbaar-als-je-op-stap-gaat,Het mooie aan gitaarspelen is dat je bijna altijd kunt kiezen waar en wanneer je dit doet. Het is een mobiel instrument.,Gitaarles,"Mon, 02 Mar 2020 15:04:47 +0100",889,1,%%title%% | OnlineMuziekCursus.nl,Een gigbag of koffer: onmisbaar als je op stap gaat met je gitaar. Lees hier over de mogelijkheden en de punten waar je op moet letten bij aanschaf.,ja
keyboard-op-de-computer-spelen,Piano spelen is heerlijk. Het heeft alleen een beperking: je kunt je piano niet overal mee naartoe nemen. Zelfs een keyb,Pianoles,"Tue, 10 Mar 2020 13:13:45 +0100",644,1,%%title%% | OnlineMuziekCursus.nl,Keyboard op de computer spelen kan een uitstekende manier zijn om piano te leren spelen. Kijk hier waar je dit gratis kunt doen.,ja
aandachtspunten-voor-het-kopen-van-een-akoestische-piano,"Ga je een piano kopen, dan sta je op het punt om een significante uitgave te doen. Want zelfs een gebruikte piano aansch",Pianoles,"Tue, 17 Mar 2020 11:41:39 +0100",896,1,%%title%%...,"Wat zijn aandachtspunten voor het kopen van een akoestische piano? Wij bespreken de belangrijkste punten met je, zodat je zeker een goede aankoop doet.",ja
hoe-maak-je-je-piano-schoon,Je piano vertegenwoordigt een behoorlijke waarde. Zowel in financiële als in emotionele zin. Je hebt een behoorlijke inv,Pianoles,"Fri, 20 Mar 2020 09:46:16 +0100",691,1,%%title%% | OnlineMuziekCursus.nl,Hoe maak je je piano schoon? Wij vertellen je graag wat je het beste wel en niet kunt doen om je piano goed schoon te maken en langer mee te laten gaan.,ja
een-stemapparaatje-een-onmisbaar-hulpmiddel,Je wilt natuurlijk zoveel mogelijk van je gitaar genieten. Heerlijk spelen wanneer je maar wilt. Misschien vind je het o,Gitaarles,"Sun, 29 Mar 2020 09:59:11 +0200",1023,1,%%title%% | OnlineMuziekCursus.nl,Een stemapparaatje is een onmisbaar hulpmiddel omdat dit ervoor zorgt dat je gitaar te allen tijde juist gestemd is en je dus zuiver gitaar kunt spelen.,ja
gitaarsteun-kan-handig-zijn-om-te-hebben,Een gitaarsteun kan handig zijn om te hebben. Sterker nog: voor veel mensen is dit een absolute must. Gitaar spelen kan ,Gitaarles,"Mon, 13 Apr 2020 12:52:06 +0200",1125,1,%%title%% | OnlineMuziekCursus.nl,"Een gitaarsteun kan handig zijn om te hebben, want deze zorgt ervoor dat je speelt met een betere houding. Investeer dan ook zeker in een gitaarsteun.",ja
tips-om-gitaarschade-te-voorkomen,"Je gitaar is natuurlijk een belangrijk en waardevol bezit. Op emotioneel gebied omdat je natuurlijk graag speelt, maar o",Gitaarles,"Mon, 04 May 2020 07:56:00 +0200",1148,1,%%title%% | OnlineMuziekCursus.nl,Wij hebben belangrijke tips om gitaarschade te voorkomen. Zowel qua gebruik als qua opbergen. Houd je gitaar goed onderhouden en schadevrij om maximaal van je instrument te blijven genieten.,ja
simpele-popliedjes-om-op-de-piano-mee-te-spelen,Piano spelen is heerlijk. Iedereen heeft zo zijn of haar eigen favoriet om mee te spelen. Vrij vaak is pianomuziek klass,Pianoles,"Thu, 28 May 2020 08:04:46 +0200",799,1,%%title%% | OnlineMuziekCursus.nl,Ben je op zoek naar simpele popliedjes om op de piano mee te spelen? Wij hebben enkele suggesties. Probeer deze popliedjes en ontwikkel je vaardigheden.,ja
voordelen-online-muziekcursus-beginners,"Wil je graag muziek leren maken, maar zie je het niet zitten om naar een muziekschool te gaan of wekelijks fysiek les te",Muziekles,"Fri, 18 Jul 2025 12:31:00 +0200",609,1,Ontdek de voordelen van online muziekles voor beginners,"Leer muziek maken vanuit huis! Ontdek hoe online muziekcursussen flexibiliteit, kwaliteit en plezier bieden – perfect voor elke beginnende muzikant.",ja
