slug,url,status,title,metadesc,canonical,robots,h1,n_headings,woorden
,https://onlinemuziekcursus.nl/,200,Online muzieklessen | OnlineMuziekCursus.nl - Muziekschool,Profiteer met onze online muzieklessen van professioneel lesmateriaal dat je bekijkt wanneer jij wilt. Bestel online muzieklessen en leer op je eigen tempo.,https://onlinemuziekcursus.nl/,"index, follow",De grootste online muziekschool van Nederland,29,689
affiliate-programma,https://onlinemuziekcursus.nl/affiliate-programma/,200,Affiliate programma - Online Muziek Cursus,"Wil jij als affiliate geld verdienen met onze cursussen, meld je dan snel aan en start met het promoten van onze muziekcursussen.",https://onlinemuziekcursus.nl/affiliate-programma/,"index, follow",,5,623
affiliates,https://onlinemuziekcursus.nl/affiliates/,200,Affiliate programma van online muziek cursus,"Affiliate programma, ontvang als affiliate 50% commissie per verkochte cursus.",https://onlinemuziekcursus.nl/affiliates/,"index, follow",Zullen wij jou elke maand betalen?,13,640
algemene-voorwaarden,https://onlinemuziekcursus.nl/algemene-voorwaarden/,200,Algemene voorwaarden,Algemene voorwaarden,https://onlinemuziekcursus.nl/algemene-voorwaarden/,"index, follow",Algemene voorwaarden,2,324
anti-spam-beleid,https://onlinemuziekcursus.nl/anti-spam-beleid/,200,Anti spam beleid - OnlineMuziekCursus.nl,Anti spam beleid,https://onlinemuziekcursus.nl/anti-spam-beleid/,"index, follow",,4,231
author/johan-koelewijn,https://onlinemuziekcursus.nl/author/johan-koelewijn/,200,Johan Koelewijn - ONLINEMUZIEKCURSUS.NL,,https://onlinemuziekcursus.nl/author/johan-koelewijn/,"index, follow",Johan Koelewijn,3,234
basgitaarles,https://onlinemuziekcursus.nl/basgitaarles/,200,Basgitaar spelen - OnlineMuziekCursus.nl,Leer online basgitaar spelen en volg de lessen wanneer het jou uitkomt. Bestel deze cursus en profiteer onder andere van HD video’s en onbeperkte toegang.,https://onlinemuziekcursus.nl/basgitaarles/,"index, follow",Basgitaar leren spelen wanneer het jou uitkomt?,28,1383
blog,https://onlinemuziekcursus.nl/blog/,200,Online Muziek Cursus,,https://onlinemuziekcursus.nl/blog/,"index, follow",Blogs,2,179
compositie-songwriting,https://onlinemuziekcursus.nl/compositie-songwriting/,200,Compositie / songwriting - OnlineMuziekCursus.nl,Compositie en songwriting - Wil je je eigen muziek gaan maken? Met de lessen Compositie help ik je op weg om die droom waar te maken.,https://onlinemuziekcursus.nl/compositie-songwriting/,"index, follow",Wil je je eigen muziek gaan maken? Met de lessen Compositie/songwriting help ik je op weg om die droom waar te maken.,10,338
contact,https://onlinemuziekcursus.nl/contact/,200,Contact - Online Muziek Cursus,"We komen graag met je in contact, dus laat wat van je horen.",https://onlinemuziekcursus.nl/contact/,"index, follow","Wees geen vreemde, laat van je horen!",3,98
cursussen,https://onlinemuziekcursus.nl/cursussen/,200,14 verschillende online muziek cursussen - Onlinemuziekcursus.nl,"Online muziekcursussen: gitaarcursus, pianocursus, zangcursus, drumcursus, ukelele cursus, basgitaar cursus, on nog veel meer. Leer stap voor stap een instrument bespelen.",https://onlinemuziekcursus.nl/cursussen/,"index, follow",Onze cursussen:,18,178
dirigeren,https://onlinemuziekcursus.nl/dirigeren/,200,Leren dirigeren - OnlineMuziekCursus.nl,Leren dirigeren - na deze cursus weet je alles over dirigeren en kun je zelf aan de slag. Kijk snel voor meer info,https://onlinemuziekcursus.nl/dirigeren/,"index, follow","Leren dirigeren, een introductie tot het vak van de dirigent",10,361
disclaimer,https://onlinemuziekcursus.nl/disclaimer/,200,Disclaimer - Online Muziek Cursus,Disclaimer,https://onlinemuziekcursus.nl/disclaimer/,"index, follow",,5,453
drumles,https://onlinemuziekcursus.nl/drumles/,200,Online drumles - OnlineMuziekCursus.nl,Leer snel drummen met online drumles. Je leert van ervaren professionals en je bekijkt de lessen wanneer je wilt. Bestel dus nu deze geweldige cursus.,https://onlinemuziekcursus.nl/drumles/,"index, follow",Leren drummen wanneer het jou uitkomt?,27,1270
drumstel,https://onlinemuziekcursus.nl/drumstel/,200,Drumles,,https://onlinemuziekcursus.nl/drumstel/,"index,follow",Drumles,2,54
elektrische-gitaar-leren-spelen,https://onlinemuziekcursus.nl/elektrische-gitaar-leren-spelen/,200,Elektrische gitaar leren spelen | Online Muziek Cursus,Iedereen kan elektrische gitaar leren spelen dankzij onze online cursussen. Bestel de cursus en krijg levenslang toegang tot professioneel lesmateriaal.,https://onlinemuziekcursus.nl/elektrische-gitaar-leren-spelen,"index, follow",Elektrische gitaar leren spelen,10,432
gitaar-en-aanbidding,https://onlinemuziekcursus.nl/gitaar-en-aanbidding/,200,Online Gitaar&Aanbidding lessen - OnlineMuziekCursus.nl,Droom jij ervan geweldige aanbiddingsnummers op je gitaar te kunnen spelen? Waar wacht je nog op?! Binnen enkele weken de technieken onder de knie.,https://onlinemuziekcursus.nl/gitaar-en-aanbidding/,"index, follow",De mooiste aanbiddingsliederen leren spelen op je gitaar?,27,1194
gitaar-noten-leren,https://onlinemuziekcursus.nl/gitaar-noten-leren/,200,Gitaar noten leren | Online Muziek Cursus,Wil jij voor de gitaar noten leren lezen? Dankzij onze voordelige online cursus leer je op jouw manier. Bestel de cursus en begin meteen met leren.,https://onlinemuziekcursus.nl/gitaar-noten-leren,"index, follow",Jij kunt met je gitaar noten leren lezen,10,368
gitaar-snaren-namen,https://onlinemuziekcursus.nl/gitaar-snaren-namen/,200,Gitaar snaren namen | Online Muziek Cursus,Om je gitaar te stemmen moet je de snaren met behulp van hun namen onderscheiden. Dankzij onze cursus heb je dit snel geleerd. Bestel de cursus en begin.,https://onlinemuziekcursus.nl/gitaar-snaren-namen,"index, follow",Leer de gitaar kennen met de snaren en hun namen,10,390
gitaar,https://onlinemuziekcursus.nl/gitaar/,200,Gitaarles,,https://onlinemuziekcursus.nl/gitaar/,"index,follow",Gitaarles,2,142
gitaarakkoorden-leren-spelen,https://onlinemuziekcursus.nl/gitaarakkoorden-leren-spelen/,200,Gitaar akkoorden leren,"Dankzij dit handige overzicht kun jij snel op je gitaar akkoorden leren spelen. Wanneer je deze akkoorden beheerst, bestel je hier ook leuke cursussen.",https://onlinemuziekcursus.nl/gitaarakkoorden-leren-spelen/,"index, follow",Gitaarakkoorden leren spelen,7,971
gitaarakkoorden-leren-spelen/a-akkoord-gitaar,https://onlinemuziekcursus.nl/gitaarakkoorden-leren-spelen/a-akkoord-gitaar/,200,"A akkoord gitaar, Bekijk hier de video en akkoorddiagram","Het A akkoord is één van de basisakkoorden. Wat is het A akkoord precies, hoe speel je het en welke verschillende vormen zijn er? (video + akkoorddiagram)",https://onlinemuziekcursus.nl/gitaarakkoorden-leren-spelen/a-akkoord-gitaar/,"index, follow",A akkoord gitaar,7,678
gitaarakkoorden-leren-spelen/a7-akkoord-gitaar,https://onlinemuziekcursus.nl/gitaarakkoorden-leren-spelen/a7-akkoord-gitaar/,200,A7 akkoord gitaar,Wil je graag meer weten over het A7 akkoord voor de gitaar? Lees dan ons artikel! In onze kennisbank vind je nog veel meer gitaarakkoorden.,https://onlinemuziekcursus.nl/gitaarakkoorden-leren-spelen/a7-akkoord-gitaar/,"index, follow",A7 akkoord gitaar,5,754
gitaarakkoorden-leren-spelen/am-akkoord-gitaar-a-mineur,https://onlinemuziekcursus.nl/gitaarakkoorden-leren-spelen/am-akkoord-gitaar-a-mineur/,200,Am akkoord gitaar (A mineur),"Ben je benieuwd hoe je bepaalde gitaarakkoorden speelt? In onze kennisbank vindt je alle gitaarakkoorden, waaronder het Am (A mineur) gitaarakkoord!",https://onlinemuziekcursus.nl/gitaarakkoorden-leren-spelen/am-akkoord-gitaar-a-mineur/,"index, follow",Am akkoord gitaar (A mineur),6,761
gitaarakkoorden-leren-spelen/am7-akkoord-gitaar,https://onlinemuziekcursus.nl/gitaarakkoorden-leren-spelen/am7-akkoord-gitaar/,200,Am7 akkoord gitaar,Heb je al wat gitaarakkoorden geleerd en ben je benieuwd hoe je het Am7 akkoord op de gitaar speelt? Lees dan eens ons artikel en bekijk ook eens de overige gitaarakkoorden in onze kennisbank!,https://onlinemuziekcursus.nl/gitaarakkoorden-leren-spelen/am7-akkoord-gitaar/,"index, follow",Am7 akkoord gitaar,5,873
gitaarakkoorden-leren-spelen/b-akkoord-gitaar,https://onlinemuziekcursus.nl/gitaarakkoorden-leren-spelen/b-akkoord-gitaar/,200,B Akkoord Gitaar (Video + Akkoord Diagram) | OnlineMuziekCursus.nl,Om een B akkoord goed te kunnen spelen zul je met je wijsvinger meerdere snaren tegelijkertijd in moeten drukken. Bekijk hier de video met akkoord diagram,https://onlinemuziekcursus.nl/gitaarakkoorden-leren-spelen/b-akkoord-gitaar/,"index, follow",B akkoord gitaar,7,753
gitaarakkoorden-leren-spelen/b7-akkoord-gitaar,https://onlinemuziekcursus.nl/gitaarakkoorden-leren-spelen/b7-akkoord-gitaar/,200,B7 akkoord gitaar,Wil je graag het B7 akkoord op de gitaar leren spelen? Lees dan eens ons artikel! Ook vind je in onze kennisbank nog veel meer gitaarakoorden!,https://onlinemuziekcursus.nl/gitaarakkoorden-leren-spelen/b7-akkoord-gitaar/,"index, follow",B7 akkoord gitaar,5,870
gitaarakkoorden-leren-spelen/bm-akkoord-gitaar-b-mineur,https://onlinemuziekcursus.nl/gitaarakkoorden-leren-spelen/bm-akkoord-gitaar-b-mineur/,200,Bm akkoord gitaar (B mineur),Wil je gitaarakkoorden leren spelen? In onze kennisbank vind je alle gitaarakkoorden zoals bijvoorbeeld het Bm gitaar akkoord!,https://onlinemuziekcursus.nl/gitaarakkoorden-leren-spelen/bm-akkoord-gitaar-b-mineur/,"index, follow",Bm akkoord gitaar (B mineur),6,632
gitaarakkoorden-leren-spelen/bm7-akkoord-gitaar,https://onlinemuziekcursus.nl/gitaarakkoorden-leren-spelen/bm7-akkoord-gitaar/,200,Bm7 akkoord gitaar,Wil je meer weten over het Bm7 akkoord en hoe je deze op de gitaar speelt? Lees dan ons artikel! Bekijk ook eens onze kennisbank voor nog meer gitaarakkoorden.,https://onlinemuziekcursus.nl/gitaarakkoorden-leren-spelen/bm7-akkoord-gitaar/,"index, follow",Bm7 akkoord gitaar,4,909
gitaarakkoorden-leren-spelen/c-akkoord-gitaar,https://onlinemuziekcursus.nl/gitaarakkoorden-leren-spelen/c-akkoord-gitaar/,200,"C akkoord gitaar, akkoord diagram + video | OnlineMuziekCursus.nl","Het C-akkoord, een belangrijk basisakkoord in de muziek. Ook in de gitaarmuziek is het C-akkoord vaak een onderdeel van de basis, bekijk hier de video....",https://onlinemuziekcursus.nl/gitaarakkoorden-leren-spelen/c-akkoord-gitaar/,"index, follow",C akkoord gitaar,5,541
gitaarakkoorden-leren-spelen/c7-akkoord-gitaar,https://onlinemuziekcursus.nl/gitaarakkoorden-leren-spelen/c7-akkoord-gitaar/,200,C7 akkoord gitaar,Ben je al een tijdje de akkoorden voor de gitaar aan het leren en ben je toe om het C7 akkoord te leren? Lees dan ons artikel! In onze kennisbank vind je overigens nog meer gitaarakkoorden!,https://onlinemuziekcursus.nl/gitaarakkoorden-leren-spelen/c7-akkoord-gitaar/,"index, follow",C7 akkoord gitaar,5,648
gitaarakkoorden-leren-spelen/cm-akkoord-gitaar-c-mineur,https://onlinemuziekcursus.nl/gitaarakkoorden-leren-spelen/cm-akkoord-gitaar-c-mineur/,200,Cm gitaar akkoord (C mineur),Wil je gitaarakkoorden leren spelen? Bekijk dan eens onze kennisbank van gitaarakkoorden! Hier vind je het Cm akkoord en alle andere akkoorden.,https://onlinemuziekcursus.nl/gitaarakkoorden-leren-spelen/cm-akkoord-gitaar-c-mineur/,"index, follow",Cm akkoord gitaar (C mineur),5,465
gitaarakkoorden-leren-spelen/cm7-akkoord-gitaar,https://onlinemuziekcursus.nl/gitaarakkoorden-leren-spelen/cm7-akkoord-gitaar/,200,Cm7 akkoord gitaar,Wil je het Cm7 akkoord op de gitaar leren spelen? Dan ben je hier aan het juiste adres! Bekijk ook eens onze overige artikelen over gitaarakkoorden in onze kennisbank!,https://onlinemuziekcursus.nl/gitaarakkoorden-leren-spelen/cm7-akkoord-gitaar/,"index, follow",Cm7 akkoord gitaar,4,613
gitaarakkoorden-leren-spelen/d-akkoord-gitaar,https://onlinemuziekcursus.nl/gitaarakkoorden-leren-spelen/d-akkoord-gitaar/,200,D Akkoord Gitaar (Video + Akkoord Diagram) | OnlineMuziekCursus.nl,"Om het D akkoord probleemloos te leren spelen, is het belangrijk dat je je vingers op de juiste manier neerzet. Bekijk hier de video over het D akkoord.",https://onlinemuziekcursus.nl/gitaarakkoorden-leren-spelen/d-akkoord-gitaar/,"index, follow",D akkoord gitaar,5,433
gitaarakkoorden-leren-spelen/d7-akkoord-gitaar,https://onlinemuziekcursus.nl/gitaarakkoorden-leren-spelen/d7-akkoord-gitaar/,200,D7 akkoord gitaar,Wil je het D7 akkoord op de gitaar leren? Lees dan eens ons artikel! Ook hebben wij in onze kennisbank nog veel meer gitaarakkoorden klaarstaan!,https://onlinemuziekcursus.nl/gitaarakkoorden-leren-spelen/d7-akkoord-gitaar/,"index, follow",D7 akkoord gitaar,5,747
gitaarakkoorden-leren-spelen/dm-akkoord-gitaar-d-mineur,https://onlinemuziekcursus.nl/gitaarakkoorden-leren-spelen/dm-akkoord-gitaar-d-mineur/,200,Dm akkoord gitaar (D mineur),Wil je het Dm akkoord (D mineur) op de gitaar leren spelen? Lees dan eens dit artikel! Ook vind je nog veel meer gitaarakkoorden in onze kennisbank.,https://onlinemuziekcursus.nl/gitaarakkoorden-leren-spelen/dm-akkoord-gitaar-d-mineur/,"index, follow",Dm akkoord gitaar (D mineur),6,733
gitaarakkoorden-leren-spelen/dm7-akkoord-gitaar,https://onlinemuziekcursus.nl/gitaarakkoorden-leren-spelen/dm7-akkoord-gitaar/,200,Dm7 akkoord gitaar,Wil je weten hoe je het Dm7 akkoord speelt op de gitaar? Lees dan eens ons artikel! Lees ook onze overige artikelen over gitaarakkoorden in onze kennisbank!,https://onlinemuziekcursus.nl/gitaarakkoorden-leren-spelen/dm7-akkoord-gitaar/,"index, follow",Dm7 akkoord gitaar,7,826
