slug,url,status,title,metadesc,canonical,robots,h1,n_headings,woorden
gitaarakkoorden-leren-spelen/e-akkoord-gitaar,https://onlinemuziekcursus.nl/gitaarakkoorden-leren-spelen/e-akkoord-gitaar/,200,E akkoord gitaar | OnlineMuziekCursus.nl,E akkoord op de gitaar leren spelen bekijk hier het akkoord diagram met duidelijke video over het E akkoord.,https://onlinemuziekcursus.nl/gitaarakkoorden-leren-spelen/e-akkoord-gitaar/,"index, follow",E akkoord gitaar,6,485
gitaarakkoorden-leren-spelen/e7-akkoord-gitaar,https://onlinemuziekcursus.nl/gitaarakkoorden-leren-spelen/e7-akkoord-gitaar/,200,E7 akkoord gitaar,Ben je benieuwd hoe je het E7 akkoord speelt op de gitaar? In ons artikel leggen we je alles uit! Ook vind je in onze kennisbank nog veel meer gitaarakkoorden!,https://onlinemuziekcursus.nl/gitaarakkoorden-leren-spelen/e7-akkoord-gitaar/,"index, follow",E7 akkoord gitaar,4,733
gitaarakkoorden-leren-spelen/em-akkoord-gitaar-e-mineur,https://onlinemuziekcursus.nl/gitaarakkoorden-leren-spelen/em-akkoord-gitaar-e-mineur/,200,Em akkoord gitaar (E mineur),Wil je gitaar leren spelen en gitaarakkoorden oefenen zoals het Em akkoord (E mineur)? Bekijk dan eens onze kennisbank gitaarakkoorden!,https://onlinemuziekcursus.nl/gitaarakkoorden-leren-spelen/em-akkoord-gitaar-e-mineur/,"index, follow",Em akkoord gitaar (E mineur),4,728
gitaarakkoorden-leren-spelen/em7-akkoord-gitaar,https://onlinemuziekcursus.nl/gitaarakkoorden-leren-spelen/em7-akkoord-gitaar/,200,Em7 akkoord gitaar,Ben je benieuwd hoe je het Em7 akkoord speelt? Lees dan eens ons artikel! In onze kennisbank vind je nog veel meer gitaarakkoorden!,https://onlinemuziekcursus.nl/gitaarakkoorden-leren-spelen/em7-akkoord-gitaar/,"index, follow",Em7 akkoord gitaar,4,902
gitaarakkoorden-leren-spelen/f-akkoord-gitaar,https://onlinemuziekcursus.nl/gitaarakkoorden-leren-spelen/f-akkoord-gitaar/,200,F Akkoord Gitaar - OnlineMuziekCursus.nl,"Hoe pak ik eenF akkoord? F is een barré-akkoord, dat wil zeggen dat je met één vinger alle snaren indrukt. Je wijsvinger plaats je over de gehele breedte van de eerste fret....",https://onlinemuziekcursus.nl/gitaarakkoorden-leren-spelen/f-akkoord-gitaar/,"index, follow",F akkoord gitaar,7,725
gitaarakkoorden-leren-spelen/f7-akkoord-gitaar,https://onlinemuziekcursus.nl/gitaarakkoorden-leren-spelen/f7-akkoord-gitaar/,200,F7 akkoord gitaar,Wil je het F7 akkoord op de gitaar leren spelen? Lees dan eens ons artikel! Ook vind je in onze kennisbank meer gitaarakkoorden!,https://onlinemuziekcursus.nl/gitaarakkoorden-leren-spelen/f7-akkoord-gitaar/,"index, follow",F7 akkoord gitaar,5,726
gitaarakkoorden-leren-spelen/fm-akkoord-gitaar-f-mineur,https://onlinemuziekcursus.nl/gitaarakkoorden-leren-spelen/fm-akkoord-gitaar-f-mineur/,200,Fm akkoord gitaar (F mineur),"Ben je benieuwd hoe je het gitaarakkoord Fm, ofwel F mineur speelt? In onze kennisbank vind je alle gitaarakkoorden om snel alle akkoorden te kunnen leren!",https://onlinemuziekcursus.nl/gitaarakkoorden-leren-spelen/fm-akkoord-gitaar-f-mineur/,"index, follow",Fm akkoord gitaar (F mineur),4,616
gitaarakkoorden-leren-spelen/fm7-akkoord,https://onlinemuziekcursus.nl/gitaarakkoorden-leren-spelen/fm7-akkoord/,200,Fm7 akkoord gitaar,Wil je het Fm7 akkoord in de vingers krijgen? Lees dan eens ons artikel. In onze kennisbank vind je nog veel meer gitaarakkoorden!,https://onlinemuziekcursus.nl/gitaarakkoorden-leren-spelen/fm7-akkoord/,"index, follow",Fm7 akkoord gitaar,6,733
gitaarakkoorden-leren-spelen/g-akkoord-gitaar,https://onlinemuziekcursus.nl/gitaarakkoorden-leren-spelen/g-akkoord-gitaar/,200,G Akkoord Gitaar - OnlineMuziekCursus.nl,Het G akkoord van de gitaar is een belangrijk basisakkoord. Bekijk hier hoe je het G akkoord speelt met video en akkoorddiagram...,https://onlinemuziekcursus.nl/gitaarakkoorden-leren-spelen/g-akkoord-gitaar/,"index, follow",G akkoord gitaar,5,587
gitaarakkoorden-leren-spelen/g7-akkoord-gitaar,https://onlinemuziekcursus.nl/gitaarakkoorden-leren-spelen/g7-akkoord-gitaar/,200,G7 akkoord gitaar,Ben je benieuwd hoe je het G7 akkoord op de gitaar speelt? Lees dan eens ons artikel! In onze kennisbank vind je overigens nog veel meer gitaarakkoorden!,https://onlinemuziekcursus.nl/gitaarakkoorden-leren-spelen/g7-akkoord-gitaar/,"index, follow",G7 akkoord gitaar,6,777
gitaarakkoorden-leren-spelen/gm-akkoord-gitaar-g-mineur,https://onlinemuziekcursus.nl/gitaarakkoorden-leren-spelen/gm-akkoord-gitaar-g-mineur/,200,Gm akkoord gitaar (G mineur),Ben je benieuwd hoe je het Gm akkoord (G mineur) op de gitaar speelt? Bekijk dan eens dit artikel! Bovendien vind je in onze kennisbank nog veel meer gitaarakkoorden.,https://onlinemuziekcursus.nl/gitaarakkoorden-leren-spelen/gm-akkoord-gitaar-g-mineur/,"index, follow",Gm akkoord gitaar (G mineur),5,870
gitaarakkoorden-leren-spelen/gm7-akkoord-gitaar,https://onlinemuziekcursus.nl/gitaarakkoorden-leren-spelen/gm7-akkoord-gitaar/,200,Gm7 akkoord gitaar,Ben je benieuwd hoe je het Gm7 akkoord speelt? Lees dan eens ons artikel! Bekijk ook onze overige artikelen in onze kennisbank van gitaarakkoorden!,https://onlinemuziekcursus.nl/gitaarakkoorden-leren-spelen/gm7-akkoord-gitaar/,"index, follow",Gm7 akkoord gitaar,7,1134
gitaarles,https://onlinemuziekcursus.nl/gitaarles/,200,Online gitaarlessen - OnlineMuziekCursus.nl,Volg bij ons professionele online gitaarlessen en leer wanneer het jou uitkomt. Bestel de cursus en profiteer van levenslang toegang tot de lessen.,https://onlinemuziekcursus.nl/gitaarles,"index, follow",Gitaar leren spelen wanneer het jou uitkomt?,27,1463
gitaarlessen-online,https://onlinemuziekcursus.nl/gitaarlessen-online/,200,Gitaarlessen online | Online Muziekcursus.nl,Gitaarlessen online nodig? Online Muziekcursus.nl biedt lessen tegen een eenmalige prijs. ✅ Levenslang toegang tot lesmateriaal. ✅ 8000+ verkochte cursussen.,https://onlinemuziekcursus.nl/gitaarlessen-online/,"index, follow",Gitaarlessen online nodig?,26,1158
inzing-oefeningen,https://onlinemuziekcursus.nl/inzing-oefeningen/,200,Inzing oefeningen - OnlineMuziekCursus.nl,Leren tokkelen: Samen gaan we aan de slag met verschillende tokkeltechnieken en gaan we bekende tokkelnummers spelen.,https://onlinemuziekcursus.nl/inzing-oefeningen/,"index, follow",Wil je graag technisch aan de slag met je stem? Of ben je op zoek naar inzing oefeningen om je repetitie of optreden goed voor te bereiden? Dan vind je hier inzing oefeningen om je stem te trainen en op te warmen.,10,424
leren-tokkelen,https://onlinemuziekcursus.nl/leren-tokkelen/,200,Leren tokkelen - OnlineMuziekCursus.nl,Leren tokkelen: Samen gaan we aan de slag met verschillende tokkeltechnieken en gaan we bekende tokkelnummers spelen.,https://onlinemuziekcursus.nl/leren-tokkelen/,"index, follow",Heb je altijd al willen leren tokkelen? Leer de basis en de juiste technieken voor het tokkelen,10,351
muziekles-online,https://onlinemuziekcursus.nl/muziekles-online/,200,Online muziekles | Muziekles online - OnlineMuziekCursus.nl,"Start met een muziekles online. Online gitaarcursus, pianocursus, zangcursus, drumcursus, ukelele cursus. Start direct met een online gratis proefles!",https://onlinemuziekcursus.nl/muziekles-online/,"index, follow",Start met jouw muziekles online:,12,607
muziekles,https://onlinemuziekcursus.nl/muziekles/,200,Muziekles,,https://onlinemuziekcursus.nl/muziekles/,"index,follow",Muziekles,2,64
muziektheorie,https://onlinemuziekcursus.nl/muziektheorie/,200,Muziektheorie cursus - OnlineMuziekCursus.nl,In de muziektheorie cursus leer je alles over de muziek die je maakt en luistert. Laat je creatief inspireren door muziektheorie,https://onlinemuziekcursus.nl/muziektheorie/,"index, follow",Muziektheorie: Wil je meer weten over de muziek die je maakt en luistert?,10,372
noten-leren-lezen,https://onlinemuziekcursus.nl/noten-leren-lezen/,200,Noten leren lezen - OnlineMuziekCursus.nl,"Noten leren lezen, Na deze cursus ben je in staat om zelf aan de slag te gaan met het lezen van bladmuziek!",https://onlinemuziekcursus.nl/noten-leren-lezen/,"index, follow","Noten leren lezen, Na deze cursus ben je in staat om zelf aan de slag te gaan met het lezen van bladmuziek!",10,404
online-gitaar-leren-spelen,https://onlinemuziekcursus.nl/online-gitaar-leren-spelen/,200,Online gitaar leren spelen | Online Muziekcursus.nl,Jij kunt bij ons snel online gitaar leren spelen. Bekijk de lessen wanneer jij wilt en leer van de beste docenten. Bestel de cursus en begin meteen.,https://onlinemuziekcursus.nl/online-gitaar-leren-spelen/,"index, follow",Online gitaar leren spelen!,27,1242
online-gitaar-les,https://onlinemuziekcursus.nl/online-gitaar-les/,200,Online gitaar les | Online Muziekcursus.nl,Online gitaar les nodig? Online Muziekcursus.nl biedt lessen tegen een eenmalige prijs. ✅ Levenslang toegang tot lesmateriaal. ✅ 8000+ verkochte cursussen.,https://onlinemuziekcursus.nl/online-gitaar-les/,"index, follow",Online gitaar les,26,1139
online-gitaar-lessen,https://onlinemuziekcursus.nl/online-gitaar-lessen/,200,Online gitaar lessen | Online Muziekcursus.nl,Online gitaar lessen nodig? Online Muziekcursus.nl biedt lessen tegen een eenmalige prijs. ✅ Levenslang toegang tot lesmateriaal. ✅ 8000+ verkochte cursussen.,https://onlinemuziekcursus.nl/online-gitaar-lessen/,"index, follow",Online gitaar lessen,26,1119
online-piano-leren-spelen,https://onlinemuziekcursus.nl/online-piano-leren-spelen/,200,Online piano leren spelen - OnlineMuziekCursus.nl,Bij ons kun je voordelig online piano leren spelen. Bepaal zelf wanneer je lessen volgt en profiteer van unieke voordelen. Bestel nu en begin direct.,https://onlinemuziekcursus.nl/online-piano-leren-spelen/,"index, follow",Online piano leren spelen!,29,1527
online-piano-toetsenbord,https://onlinemuziekcursus.nl/online-piano-toetsenbord/,200,Online piano toetsenbord | Online Muziek Cursus,Bespeel een online piano met je toetsenbord. Oefen je muziekstukken of verken voor het eerst de piano. Contacteer ons voor advies over diverse software.,https://onlinemuziekcursus.nl/online-piano-toetsenbord,"index, follow",Online piano toetsenbord,10,343
online-pianoles-voor-beginners,https://onlinemuziekcursus.nl/online-pianoles-voor-beginners/,200,Online pianoles voor beginners | Online Muziek Cursus,Volg online pianoles voor beginners en leer stapsgewijs piano spelen dankzij video’s met duidelijke uitleg. Bestel de cursus en oefen wanneer jij wilt.,https://onlinemuziekcursus.nl/online-pianoles-voor-beginners,"index, follow",Online pianoles voor beginners,11,509
online-pianolessen,https://onlinemuziekcursus.nl/online-pianolessen/,200,Online pianolessen volgen - OnlineMuziekCursus.nl,Leer piano spelen met online pianolessen! Altijd beschikbaar. Volg online pianolessen. Leer binnen enkele weken alle basistechnieken met online pianolessen.,https://onlinemuziekcursus.nl/online-pianolessen/,"index, follow",Leer piano spelen met online pianolessen!,27,1395
over-ons,https://onlinemuziekcursus.nl/over-ons/,200,Over ons - Online Muziek Cursus,"Bij de Online Muziek Cursus verkopen we vele verschillende cursussen tegen een eenmalige betaling, en je hebt levenslang 24/7 toegang tot de muzieklessen.",https://onlinemuziekcursus.nl/over-ons/,"index, follow",Online Muziek Cursus,17,364
piano-leren-spelen-op-keyboard,https://onlinemuziekcursus.nl/piano-leren-spelen-op-keyboard/,200,Piano leren spelen op keyboard | Online Muziek Cursus,Wil jij piano leren spelen op jouw keyboard? Op onze website profiteer je van professionele lessen je die altijd kunt bekijken. Boek nu deze leuke cursus.,https://onlinemuziekcursus.nl/piano-leren-spelen-op-keyboard,"index, follow",Piano leren spelen op jouw keyboard,10,329
piano,https://onlinemuziekcursus.nl/piano/,200,Pianoles,,https://onlinemuziekcursus.nl/piano/,"index,follow",Pianoles,2,154
pianoles,https://onlinemuziekcursus.nl/pianoles/,200,Pianoles online - OnlineMuziekCursus.nl,Leer met onze pianoles online hoe je dit klassieke instrument bespeelt. Bestel nu deze cursus en profiteer van professioneel lesmateriaal.,https://onlinemuziekcursus.nl/pianoles/,"index, follow",Online piano leren spelen wanneer het jou uitkomt?,30,1703
pianolessen-online,https://onlinemuziekcursus.nl/pianolessen-online/,200,Pianolessen online volgen - OnlineMuziekCursus.nl,Pianolessen online volgen! Altijd beschikbaar. Volg altijd pianolessen online. Leer binnen enkele weken alle basistechnieken met onze pianolessen online.,https://onlinemuziekcursus.nl/pianolessen-online/,"index, follow",Leer piano spelen met pianolessen online!,27,1473
privacy-policy,https://onlinemuziekcursus.nl/privacy-policy/,200,Privacy policy - Online Muziek Cursus,Privacy policy,https://onlinemuziekcursus.nl/privacy-policy/,"index, follow",,2,355
solfege-gehoortraining,https://onlinemuziekcursus.nl/solfege-gehoortraining/,200,Solfege / gehoortraining - OnlineMuziekCursus.nl,Solfege/gehoortraining - Als muzikant is je gehoor onwijs belangrijk: daar gaan wij in deze cursus aan werken! Kijk snel voor meer info,https://onlinemuziekcursus.nl/solfege-gehoortraining/,"index, follow","Solfege / gehoortraining, verbeter je gehoor en je kennis over muziek",10,338
ukelele-les,https://onlinemuziekcursus.nl/ukelele-les/,200,Ukelele les - OnlineMuziekCursus.nl,Dankzij onze gedreven docenten volg je met plezier ukelele les. Je leert stapsgewijs hoe je het instrument bespeelt. Bestel de cursus en begin meteen.,https://onlinemuziekcursus.nl/ukelele-les/,"index, follow",Ukelele leren spelen wanneer het jou uitkomt?,26,1312
ukelele,https://onlinemuziekcursus.nl/ukelele/,200,Ukelele,,https://onlinemuziekcursus.nl/ukelele/,"index,follow",Ukelele,2,54
zangles,https://onlinemuziekcursus.nl/zangles/,200,Zanglessen voor beginners | Online Muziek Cursus,"Volg online zanglessen voor beginners en leer technieken als de juiste houding, ademhaling en meer. Bestel deze cursus en verbeter je zangstem.",https://onlinemuziekcursus.nl/zangles/,"index, follow",Leren zingen wanneer het jou uitkomt?,27,1602
zingen,https://onlinemuziekcursus.nl/zingen/,200,Zangles,,https://onlinemuziekcursus.nl/zingen/,"index,follow",Zangles,2,132
